	Root100	Root101	Root107	Root112D2	Root1203	Root1212	Root1217	Root122	Root1220	Root123D2	Root1252	Root1277	Root1280	Root1304	Root131	Root1310	Root135	Root136	Root137	Root149	Root151	Root154	Root157	Root16D2	Root170	Root172	Root179	Root180	Root186	Root189	Root190	Root198D2	Root219	Root22	Root224	Root227	Root239	Root241	Root264	Root265	Root267	Root268	Root274	Root318D1	Root322	Root329	Root332	Root335	Root336D2	Root342	Root343	Root344	Root369	Root381	Root4	Root401	Root411	Root413D1	Root418	Root420	Root431	Root436	Root444D2	Root456	Root472D3	Root482	Root483D1	Root487D2Y	Root491	Root53	Root552	Root554	Root558	Root562	Root564	Root565	Root569	Root60	Root604	Root61	Root627	Root63	Root630	Root635	Root656	Root670	Root68	Root682	Root685	Root690	Root695	Root70	Root700	Root708	Root710	Root720	Root76	Root79	Root81	Root83	Root9	Root901	Root918	Root920	Root935	Soil522	Soil535	Soil538	Soil728	Soil729	Soil736	Soil745	Soil748	Soil750	Soil756	Soil761	Soil762	Soil763	Soil764	Soil766	Soil768D1	Soil772	Soil773	Soil782	Soil787	Soil797	Soil803	Soil805	Soil809	Soil810
DepExp-Str-TSB-CC-1-B	0	0	0	0	0	0	1	0	0	1	1	0	68	0	5696	0	0	0	1	1	0	0	0	0	1129	0	1	0	0	0	0	0	186	373	0	4	0	1	0	1	16	0	0	0	53	1136	0	1	0	0	0	0	0	0	1	453	20	0	0	0	0	0	0	0	0	1	1	0	190	0	0	0	31	7124	0	5484	47211	0	1	1	0	2	0	0	1	1	734	0	0	3	1	6	0	0	0	0	0	0	1	17	116	0	77	8	0	0	1	0	0	0	2	0	0	0	0	5	3	13	8	0	0	0	1	0	0	0	0	0	0	0
DepExp-Str-TSB-CC-2-A	0	0	0	0	0	1	0	0	0	0	0	0	84	0	4711	0	0	0	0	5	0	0	0	1	941	0	0	0	0	0	0	0	87	124	0	3	1	0	0	0	12	0	0	1	49	1249	0	0	0	0	0	0	0	0	5	885	10	0	0	0	0	0	0	0	0	0	0	0	259	2	0	0	48	7093	1	4338	68588	1	1	3	0	0	0	0	0	0	684	0	0	2	0	3	0	1	0	0	0	0	1	21	115	0	24	9	0	0	0	0	1	0	0	0	0	0	0	3	3	13	7	0	0	0	2	0	0	0	0	0	0	0
DepExp-Str-TSB-CC-2-B	0	1	0	0	0	0	0	0	0	0	0	0	103	1	4945	0	0	0	0	2	0	0	0	0	977	0	1	0	0	0	0	0	114	175	0	2	1	0	0	0	21	0	0	1	42	1505	0	0	0	0	0	0	0	0	1	1012	21	0	0	0	0	0	0	0	0	0	1	0	264	0	0	0	47	8034	4	4576	77257	2	0	1	0	0	0	0	0	0	826	0	0	1	0	0	0	0	0	0	0	0	4	11	187	0	34	14	0	0	0	0	0	0	0	0	0	0	0	4	0	14	8	0	1	0	5	0	0	0	0	0	0	0
DepExp-Str-TSB-CC-3-A	0	0	0	0	1	0	1	0	0	0	1	1	71	0	7431	0	0	0	0	5	0	0	0	1	1612	1	0	1	0	1	0	0	129	260	0	10	0	0	0	0	22	0	0	1	70	1831	0	0	0	0	0	0	0	0	4	1325	37	0	0	0	0	0	0	0	0	0	0	0	602	1	0	0	112	8091	2	6950	73314	0	0	3	0	2	0	0	1	2	1396	0	0	2	0	7	1	1	0	0	0	0	3	22	137	0	36	12	0	0	1	0	0	0	0	1	0	0	0	8	2	23	16	0	0	0	9	0	0	0	0	0	0	0
DepExp-Str-TSB-CC-3-B	0	0	1	0	0	0	1	0	0	0	0	0	87	0	7809	0	0	0	0	12	0	0	0	0	1668	2	2	0	0	2	0	0	201	342	0	8	1	0	0	0	29	0	0	5	74	1998	0	0	0	0	0	0	0	0	5	1575	47	0	0	0	0	0	1	1	0	1	0	0	601	5	0	0	110	9137	7	7341	83842	0	0	0	1	1	0	0	0	3	1500	1	0	2	0	2	0	0	0	0	0	0	0	20	180	0	53	9	0	0	0	0	0	0	1	0	0	0	0	2	4	22	17	0	1	0	7	0	0	0	0	0	0	0
DepExp-Unstr-M9-CC-1-A	0	1	0	0	2	2	0	0	0	0	44	0	848	9	4383	0	0	0	2	2	0	1	0	1	3054	2	2	1	0	0	1	0	27	193	0	80	67	1	0	0	11	0	1	14	130	225	0	0	0	0	0	0	0	0	4	769	141	0	0	0	0	0	1	0	0	2	0	0	460	2	0	0	107	866	1	6423	44474	4	4	7	4	8	1	0	0	2	273	2	0	2	1	1	0	0	0	0	1	4	3	69	988	0	47	10391	0	0	0	0	0	0	3	1	0	0	0	10	3	66	25	0	1	0	2	0	0	0	1	0	0	10
DepExp-Unstr-M9-CC-1-B	0	1	0	0	4	0	0	0	0	0	38	1	938	5	4596	1	0	0	0	2	0	2	0	2	3186	2	2	3	0	0	0	0	36	258	0	78	72	1	0	0	12	0	3	12	137	274	1	0	0	0	0	0	0	1	4	888	157	0	0	0	0	0	1	0	0	1	0	0	385	5	0	0	111	1033	1	6891	50815	3	1	12	4	7	4	0	1	3	358	3	1	1	0	5	0	0	1	1	0	0	2	71	1151	0	66	10478	0	0	1	0	0	0	3	0	0	0	0	6	1	51	17	0	0	0	6	0	0	0	0	0	0	12
DepExp-Unstr-M9-CC-2-A	0	4	0	0	0	1	0	0	0	0	35	1	598	4	3983	0	0	4	6	2	0	2	0	1	2701	0	4	1	0	0	1	0	23	260	1	87	81	1	0	0	10	0	0	6	138	214	1	0	0	1	0	0	0	2	4	1305	149	0	0	0	0	0	1	0	0	1	2	0	389	2	0	0	97	1093	1	6150	34868	4	7	4	2	9	0	0	0	0	296	0	0	0	0	0	1	1	0	0	0	1	10	64	1020	0	67	6406	0	0	0	0	0	0	3	0	0	0	0	20	1	76	30	0	0	0	3	0	0	0	0	0	0	5
DepExp-Unstr-M9-CC-2-B	0	0	1	0	0	2	0	0	0	0	51	0	641	3	4237	1	0	4	1	1	0	0	0	0	2775	1	5	0	0	0	0	0	22	315	0	78	105	1	0	1	4	0	2	6	147	266	0	0	0	0	0	0	0	1	2	1359	187	0	0	0	0	0	1	0	2	0	0	0	303	0	0	0	89	1257	5	6506	39345	2	4	8	7	15	4	0	0	2	342	1	0	3	1	4	0	1	0	2	2	1	5	69	1140	0	90	6583	0	0	0	0	0	0	7	2	0	0	0	18	0	67	23	0	2	0	3	0	0	0	0	0	0	13
DepExp-Unstr-M9-CC-3-A	0	0	2	0	0	2	1	0	0	0	74	0	1012	0	5589	9	0	0	6	8	0	1	0	0	6018	3	3	1	0	0	0	0	37	193	1	95	70	0	0	0	9	0	4	7	168	380	1	0	0	0	0	0	0	2	9	1225	118	0	0	0	0	0	1	0	0	1	0	0	613	4	0	1	120	1042	3	10516	40724	1	2	9	7	11	2	0	1	2	564	1	0	3	0	2	0	0	1	1	0	0	2	54	1475	0	59	10026	0	0	2	0	2	0	2	3	0	0	0	21	4	52	43	0	1	0	3	0	0	0	0	0	0	7
DepExp-Unstr-M9-CC-3-B	0	2	2	0	0	3	0	0	0	1	57	0	1093	5	5766	9	0	0	2	2	1	1	0	0	6384	3	8	1	0	0	0	0	40	266	0	84	76	0	0	0	16	0	5	10	168	419	4	0	0	0	0	0	0	2	11	1435	161	0	0	0	0	0	1	1	1	3	0	0	599	2	0	3	120	1160	2	11059	46156	3	0	11	5	11	1	1	1	2	651	1	0	3	1	0	0	2	0	0	1	0	4	55	1778	0	71	10220	0	0	1	0	0	0	1	1	0	0	0	16	5	56	30	0	0	0	3	1	0	1	0	0	0	10
DepExp-Unstr-TSB-CC-1-A	0	0	1	0	1	0	0	0	0	0	14	0	176	4	22459	2	0	0	0	3	0	0	0	0	483	1	0	0	0	2	0	0	58	322	0	13	25	0	0	0	34	0	0	6	48	2214	1	0	0	0	0	0	0	1	4	274	28	0	0	0	0	0	0	0	0	1	0	0	569	2	0	0	507	2962	5	3665	12845	3	3	3	1	51	13	0	1	1	8620	0	2	1	0	2	0	0	0	0	3	0	4	15	368	0	45	46	0	0	0	0	0	0	3	0	0	0	0	6	1	20	15	0	0	0	22	0	0	0	0	0	0	0
DepExp-Unstr-TSB-CC-1-B	0	0	1	0	0	0	0	0	0	0	14	0	173	5	23471	0	0	0	0	10	0	0	0	2	536	0	2	0	0	1	0	0	52	415	0	11	26	0	0	0	42	0	0	2	80	2520	0	0	0	0	0	0	0	0	15	340	41	0	0	0	0	0	0	0	0	0	0	0	509	2	0	0	504	3495	3	3950	14559	1	2	3	0	59	3	0	0	1	9601	2	0	0	0	0	0	0	0	0	0	0	1	17	424	0	67	62	0	0	0	0	0	0	4	2	0	0	0	4	1	30	11	0	1	0	33	0	0	0	0	0	0	0
DepExp-Unstr-TSB-CC-2-A	0	0	1	0	0	0	0	0	0	0	10	0	214	4	26808	2	0	0	0	6	0	0	0	0	677	1	0	0	0	0	0	0	58	309	0	13	21	1	0	0	35	0	0	1	58	2552	1	1	0	0	0	0	0	0	10	866	36	0	0	0	0	0	0	0	0	0	0	0	581	0	0	0	516	3863	8	4536	18557	0	2	2	0	52	6	0	0	0	9878	0	0	1	0	1	0	0	0	0	1	0	2	18	477	0	55	19	0	0	0	0	0	0	1	1	0	0	0	2	1	29	9	0	0	0	30	0	0	0	0	0	0	0
DepExp-Unstr-TSB-CC-2-B	0	0	0	0	0	1	0	0	0	0	10	0	242	3	27633	0	0	0	1	9	0	0	0	0	694	1	1	0	0	1	0	0	54	438	0	11	13	0	0	0	44	0	0	8	74	2889	0	1	0	0	0	0	0	0	12	1008	48	0	0	0	0	0	0	0	1	0	0	0	502	0	0	0	519	4284	3	4777	20932	1	0	0	0	51	11	0	0	1	11220	0	0	2	0	1	0	0	0	0	2	1	1	20	540	0	65	38	0	0	0	0	0	0	3	1	0	0	0	5	2	20	11	0	2	0	28	0	0	0	0	0	0	0
DepExp-Unstr-TSB-CC-3-A	0	0	0	0	0	1	0	0	0	0	18	2	188	0	20995	0	0	0	0	7	0	0	0	0	549	0	0	0	0	0	0	0	46	200	0	6	44	0	0	0	30	0	0	1	46	1933	0	0	0	0	0	0	0	0	3	642	25	0	0	0	0	0	0	0	0	0	0	0	596	0	0	0	596	3253	6	4163	13544	1	5	4	0	23	5	0	0	1	7447	0	0	3	0	0	0	0	0	1	1	0	2	15	452	0	38	57	0	0	0	0	0	0	1	2	0	0	0	1	1	26	10	0	0	0	46	0	0	0	0	0	0	1
DepExp-Unstr-TSB-CC-3-B	0	0	1	0	0	0	0	0	0	0	18	2	192	2	22083	0	0	0	0	10	0	0	0	0	564	0	1	0	0	1	0	0	50	240	0	12	34	0	0	0	34	0	0	4	50	2210	1	0	0	0	0	0	0	0	6	728	21	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	501	3745	6	4359	15059	1	5	0	0	18	4	0	0	2	8458	2	1	1	0	0	0	0	0	0	4	0	0	21	564	0	52	52	0	0	0	0	0	0	1	2	0	0	0	2	2	23	6	0	1	0	44	0	0	0	0	0	0	0
